nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
       164, 1.200000032E+00,-2.545454583E-01, 1.249999968E-01, 1.310743190E-01,-1.634539957E-03,-3.958820011E-03, 2.364056679E+00
       165, 1.350000032E+00,-2.545454574E-01, 1.249999961E-01, 1.325363802E-01,-1.606682921E-03,-5.826741841E-03, 2.361509938E+00
       166, 1.499999971E+00,-2.545454465E-01, 1.249999909E-01, 1.343062347E-01,-1.467694872E-03,-7.468947235E-03, 2.358566042E+00
       167, 1.649999926E+00,-2.545454583E-01, 1.249999968E-01, 1.363080602E-01,-1.216803924E-03,-8.904025244E-03, 2.354979512E+00
       168, 1.799999931E+00,-2.545454583E-01, 1.249999968E-01, 1.384370591E-01,-8.727920414E-04,-1.015390204E-02, 2.350667081E+00
       169, 1.950000047E+00,-2.545454574E-01, 1.249999961E-01, 1.405896842E-01,-4.613822048E-04,-1.123227189E-02, 2.345656205E+00
       170, 2.099999954E+00,-2.545454602E-01, 1.249999977E-01, 1.426717504E-01,-1.398094128E-05,-1.215224772E-02, 2.340061694E+00
       171, 2.250000011E+00,-2.545454526E-01, 1.249999940E-01, 1.446080876E-01, 4.388970151E-04,-1.292781068E-02, 2.334056230E+00
       172,-4.499999921E-01,-2.363636452E-01, 1.249999996E-01, 1.274840172E-01, 1.851375783E-03,-3.271299662E-03, 2.277903966E+00
       173,-3.000000054E-01,-2.363636377E-01, 1.249999956E-01, 1.278057357E-01, 3.615386242E-03,-1.031456120E-02, 2.280213145E+00
       174,-1.500000057E-01,-2.363636399E-01, 1.249999993E-01, 1.281235055E-01, 6.535618116E-03,-2.990111970E-02, 2.291217012E+00
       175,-1.275021755E-15,-2.363636399E-01, 1.249999968E-01, 1.281723109E-01, 8.339332772E-03,-4.973743724E-02, 2.332273451E+00
       176, 1.500000041E-01,-2.363636381E-01, 1.249999959E-01, 1.281066928E-01, 6.446815614E-03,-3.046318371E-02, 2.375067068E+00
       177, 3.000000054E-01,-2.363636377E-01, 1.249999956E-01, 1.281490404E-01, 2.644079570E-03,-7.371454908E-03, 2.386201374E+00
       178, 4.499999921E-01,-2.363636452E-01, 1.249999996E-01, 1.282983438E-01,-2.209093256E-05, 2.469887834E-03, 2.383447169E+00
       179, 6.000000172E-01,-2.363636399E-01, 1.249999968E-01, 1.286307361E-01,-1.338520961E-03, 4.177707668E-03, 2.377719978E+00
       180, 7.500000194E-01,-2.363636399E-01, 1.249999965E-01, 1.292504432E-01,-1.904081746E-03, 2.329587335E-03, 2.372415826E+00
       181, 8.999999860E-01,-2.363636454E-01, 1.249999995E-01, 1.302781820E-01,-2.124545366E-03,-5.810754749E-04, 2.368174836E+00
       182, 1.049999886E+00,-2.363636346E-01, 1.249999940E-01, 1.318213108E-01,-2.174010859E-03,-3.484218535E-03, 2.364535974E+00
       183, 1.200000032E+00,-2.363636399E-01, 1.249999968E-01, 1.338829193E-01,-2.081617995E-03,-6.103502526E-03, 2.360824692E+00
       184, 1.350000032E+00,-2.363636390E-01, 1.249999961E-01, 1.363813588E-01,-1.825054434E-03,-8.340366944E-03, 2.356488767E+00
       185, 1.499999971E+00,-2.363636289E-01, 1.249999909E-01, 1.391686960E-01,-1.426249193E-03,-1.021386381E-02, 2.351215718E+00
       186, 1.649999926E+00,-2.363636399E-01, 1.249999968E-01, 1.420624944E-01,-9.200855071E-04,-1.176418963E-02, 2.344944265E+00
