nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
       518, 1.500000050E-01,-2.788111483E-17, 2.989473714E-01, 9.386804280E-02, 3.168655557E-02,-4.617420629E-03, 2.646768670E+00
       519, 3.000000143E-01,-2.873706451E-17, 2.989473775E-01, 9.685113216E-02,-1.328094542E-03,-4.862534702E-03, 2.648244072E+00
       520, 4.499999820E-01,-2.959301284E-17, 2.989473714E-01, 1.019733189E-01,-1.362113936E-02,-4.450409838E-03, 2.639790473E+00
       521, 5.999999973E-01,-3.044896119E-17, 2.989473625E-01, 1.090724592E-01,-1.801480433E-02,-3.704302860E-03, 2.630356515E+00
       522, 7.500000434E-01,-3.130491214E-17, 2.989473803E-01, 1.174368305E-01,-1.972144341E-02,-2.694391184E-03, 2.621312458E+00
       523, 8.999999851E-01,-3.216086067E-17, 2.989473781E-01, 1.260970756E-01,-2.084856953E-02,-1.523674406E-03, 2.612599851E+00
       524, 1.049999879E+00,-3.301680773E-17, 2.989473625E-01, 1.341082943E-01,-2.192535540E-02,-3.391883168E-04, 2.604151834E+00
       525, 1.200000069E+00,-3.387275950E-17, 2.989473803E-01, 1.408706193E-01,-2.294268956E-02, 7.216738592E-04, 2.596160725E+00
       526, 1.350000037E+00,-3.472870758E-17, 2.989473714E-01, 1.461492989E-01,-2.381584661E-02, 1.615621606E-03, 2.588872207E+00
       527, 1.500000019E+00,-3.558465614E-17, 2.989473669E-01, 1.499693324E-01,-2.449255695E-02, 2.326325220E-03, 2.582461048E+00
       528, 1.649999926E+00,-3.644060509E-17, 2.989473714E-01, 1.525055006E-01,-2.495788747E-02, 2.858185471E-03, 2.576991413E+00
       529, 1.799999931E+00,-3.729655419E-17, 2.989473714E-01, 1.540140712E-01,-2.521637847E-02, 3.240684975E-03, 2.572410424E+00
